web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-216,https://fantasy.skiclassics.com/athletes,,Hanne Skulbru,Team Rustad IL Oslo,,,$1 921,0 p.,-
1763925487-217,https://fantasy.skiclassics.com/athletes,,Rudolf Dohnal,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,Youth,$244,0 p.,-
1763925487-218,https://fantasy.skiclassics.com/athletes,,Johannes Richter,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,Youth,$298,0 p.,-
1763925487-219,https://fantasy.skiclassics.com/athletes,,Markus Hallén Johansson,Team GS8,https://skiclassics.com/wp-content/uploads/2024/10/Team-GS8-Race-Suit-new.png,,$249,0 p.,-
1763925487-220,https://fantasy.skiclassics.com/athletes,,Stefano Zanotto,Team Rustad IL Oslo,,QCI,$346,0 p.,-
1763925487-221,https://fantasy.skiclassics.com/athletes,,Olav Adelsten Kildal,Team Rustad IL Oslo,,Youth,$269,0 p.,-
1763925487-222,https://fantasy.skiclassics.com/athletes,,Martin Mobråthen,Team Andiamo Fleischer Finans,https://skiclassics.com/wp-content/uploads/2024/10/SC-Race-Suit_Team-Andiamo_2024-09_4x.png,Youth,$240,0 p.,-
1763925487-223,https://fantasy.skiclassics.com/athletes,,Emil Gukild,Team Burger King - Northug,,,$222,0 p.,-
1763925487-224,https://fantasy.skiclassics.com/athletes,,Erling Nyborg Owren,Team Aktiv Mot Kreft,,,$256,0 p.,-
1763925487-225,https://fantasy.skiclassics.com/athletes,,Simen Ramstad,Team Aktiv Mot Kreft,,,$2 310,0 p.,-
1763925487-226,https://fantasy.skiclassics.com/athletes,,Halvor Bade,Team Aktiv Mot Kreft,,Youth,$1 514,0 p.,-
1763925487-227,https://fantasy.skiclassics.com/athletes,,Moa Hansson,Ski Team Göhlins,https://skiclassics.com/wp-content/uploads/2023/03/ski-team-Gohlins-race-suit.svg,Youth,$3 469,0 p.,-
1763925487-228,https://fantasy.skiclassics.com/athletes,,Kati Roivas,Team Eksjöhus,https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png,QCI,$13 297,0 p.,-
1763925487-229,https://fantasy.skiclassics.com/athletes,,Hanna Lodin,Team Engcon,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_Engcon_New-4.svg,,$16 378,0 p.,-
1763925487-230,https://fantasy.skiclassics.com/athletes,,Michaela Patscheider,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,QCI,$9 522,0 p.,-
1763925487-231,https://fantasy.skiclassics.com/athletes,,Katerina Paul,TEAM BSV IBEX,https://skiclassics.com/wp-content/uploads/2023/03/SC-Race-Suit_template_TEAM-BSV-IBEX.png,QCI,$3 548,0 p.,-
1763925487-232,https://fantasy.skiclassics.com/athletes,,Suzette Christin,Team Nordic Expérience/Coste - Fromagerie Marcel Petite,,Youth,$711,0 p.,-
1763925487-233,https://fantasy.skiclassics.com/athletes,,Marlies Nipius,Team Emtec Nordic,,QCI,$893,0 p.,-
1763925487-234,https://fantasy.skiclassics.com/athletes,,Camilla Brørs,Team Sport 1 Lillehammer,,Youth,$3 842,0 p.,-
1763925487-235,https://fantasy.skiclassics.com/athletes,,Karolina Hedenström,Lager 157 Ski Team,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_LAGER-157-SKI-TEAM.png,Youth,$13 959,0 p.,-
1763925487-236,https://fantasy.skiclassics.com/athletes,,Sofia Lindberg,Team Edux,https://skiclassics.com/wp-content/uploads/2023/03/Team-Edux-race-suit-1.svg,,$4 270,0 p.,-
1763925487-237,https://fantasy.skiclassics.com/athletes,,Antoine Millet,Team Nordic Expérience/Coste - Fromagerie Marcel Petite,,Youth,$541,0 p.,-
1763925487-238,https://fantasy.skiclassics.com/athletes,,Elio Jarriand,Team Nordic Expérience/Coste - Fromagerie Marcel Petite,,Youth,$346,0 p.,-
1763925487-239,https://fantasy.skiclassics.com/athletes,,Per Finstad,NTNUI Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/NTNUI-SKI-TEAM-Race-suite-picture.jpg,Youth,$297,0 p.,-
1763925487-240,https://fantasy.skiclassics.com/athletes,,Ferdinand Fremming,NTNUI Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/NTNUI-SKI-TEAM-Race-suite-picture.jpg,Youth,$299,0 p.,-
